year,latitude,longitude,depth,mag
2009,27.319,91.51,10,5.5
2009,35.017,73.005,63.8,4
2009,24.357,94.807,124.8,5.6
2009,30.686,83.769,10,4.4
2009,14.001,92.862,42.6,5
2009,36.275,71.244,102.6,4.7
2009,35.46,71.086,121.5,4.6
2009,7.3,92.502,73.2,4.5
2009,36.243,70.863,137.4,4.2
2009,23.729,94.428,74.2,4.5
2009,37.061,72.781,150.1,4.4
2009,36.397,71.721,103.4,4.6
2009,32.641,92.841,10,4.6
2009,29.518,81.471,35,4.3
2009,13.909,92.942,46.4,4.3
2009,21.998,91.822,10,4.9
2009,21.999,91.811,17.3,4.6
2009,36.174,71.297,111.6,4.4
2009,17.123,73.45,10,4.3
2009,17.11,73.69,10,4.4
2009,17.134,73.773,10,4.8
2009,21.096,92.529,34.5,4.1
2009,23.481,94.538,35,4.5
2009,14.107,93.182,27.7,4.1
2009,33.197,88.568,54.7,4.8
2009,35.778,77.352,72.2,5.2
2009,13.622,92.793,33.6,5.3
2009,27.272,91.455,10,4.2
2009,7.628,94.566,56.2,4.4
2009,27.352,91.435,10,4.4
2009,24.956,96.416,36.8,4.3
2009,13.627,92.784,39.2,5.1
2009,4.694,96.202,33.1,4.8
2009,35.256,81.536,49,4.9
2009,13.909,92.955,20.3,4.1
2009,35.526,72.959,63,4.4
2009,35.915,70.023,88,4.6
2009,7.877,93.838,39.9,4.5
2009,30.762,83.448,19,5
2009,27.683,90.446,43.9,4.5
2009,27.647,92.823,44.4,4.7
2009,36.924,79.304,10,4.6
2009,17.056,73.747,10,4.3
2009,17.089,73.828,10,4.8
2009,36.444,80.133,10,4.4
2009,36.911,79.481,10,4.5
2009,5.523,94.701,95.5,4.2
2009,10.282,93.803,35,4.5
2009,8.082,91.899,23,6
2009,26.922,89.178,41.1,4.1
2009,29.49,86.008,5.7,5.5
2009,13.994,92.966,38.2,4.6
2009,13.116,92.486,37.4,4.4
2009,14.032,92.968,15.7,5.4
2009,34.181,70.02,30.4,5.1
2009,29.643,84.585,10,4.4
2009,8.151,91.759,29.6,5
2009,26.548,90.018,30.4,4.8
2009,36.391,70.722,210,6.2
2009,27.262,91.417,26,5.1
2009,23.65,69.843,10,4.4
2009,14.06,93.225,54.8,4.6
2009,36.422,71.181,93.1,4.4
2009,34.848,80.38,23,5
2009,36.517,70.95,185.9,6.2
2009,12.047,94.943,11.6,4.9
2009,16.893,95.817,10,4.2
2009,35.178,92.135,10,4.9
2009,36.989,71.377,94.1,5
2009,10.7,91.73,10,4.5
2009,10.885,92.139,21.2,4
2009,23.265,94.503,88.4,4.8
2009,10.696,91.566,10,4.5
2009,4.807,96.066,35,4.4
2009,29.996,79.849,36.1,4.8
2009,13.976,92.867,36.9,4.6
2009,30.888,83.49,10,5
2009,35.822,95.928,30.5,4.8
2009,27.289,91.526,27.9,4
2009,20.404,94.793,84.2,5.7
2009,27.305,91.491,10,4.1
2009,30.879,79.057,52.3,5
2009,27.31,91.489,10,4.5
2009,27.332,91.437,14,6.1
2009,33.545,67.902,10,4.4
2009,13.846,92.634,23.6,4.3
2009,36.476,70.736,199.9,5.1
2009,4.654,95.011,10,4.8
2009,5.177,94.619,35,4.5
2009,8.572,93.901,28.7,4.6
2009,36.433,68.278,59.7,4.1
2009,10.261,93.82,169.9,4.7
2009,14.037,93.161,41.3,4.1
2009,5.26,94.315,57.5,5
2009,36.446,70.727,195.4,4.9
2009,13.987,92.923,33.7,4.6
2009,13.925,93.145,35,4.3
2009,34.233,82.022,46.2,4.8
2009,23.123,70.249,10,4
2009,16.081,93.671,10,4.6
2009,13.942,93.119,35,4.3
2009,13.78,92.867,35,4.4
2009,24.332,94.669,95,5.9
2009,14.052,92.895,40.9,4.1
2009,11.027,93.603,123.7,4.8
2009,14.05,92.822,34.6,4.8
2009,25.28,95.101,82.2,5.3
2009,14.208,93.075,35,4.7
2009,18.229,94.141,13.7,4.4
2009,5.475,94.659,55.3,5
2009,14.34,93.021,35,4.7
2009,14.088,93.113,33,4.8
2009,5.361,94.693,80.5,4.6
2009,14.077,93.163,35,4.4
2009,14.092,93.115,35,4.2
2009,14.04,92.989,35,4.9
2009,14.206,93.085,35,4.4
2009,26.556,92.47,10,5
2009,14.112,92.826,35,4.2
2009,14.061,92.809,35,4.8
2009,13.931,92.945,35,4
2009,13.93,93.085,35,4.1
2009,14.304,93.055,35,4.3
2009,4.603,96.625,54.3,5
2009,13.961,93.023,25.6,5
2009,13.865,92.837,35,4.3
2009,13.907,92.912,30.4,4.5
2009,13.945,93.05,35,4.7
2009,14.1,93.216,35,4
2009,14.304,93.14,35,4.8
2009,5.208,94.744,61.2,4.5
2009,14.052,92.821,35,5.9
2009,33.927,88.696,35,4.2
2009,14.144,93.102,35,4.7
2009,13.972,92.926,35,4.1
2009,13.7,93.84,35,4.1
2009,9.018,93.723,50.7,5.1
2009,13.959,93.06,35,4
2009,13.942,93.125,35,4.4
2009,14.386,93.034,35,4.1
2009,14.066,93.161,35,4.2
2009,13.849,93.077,35,4.3
2009,24.323,94.793,99,5.5
2009,14.004,93.041,19.3,4.5
2009,14.117,93.149,35,4.1
2009,14.156,93.144,35,4.6
2009,14.127,93.068,38.4,4.6
2009,14.12,93.15,35,4.5
2009,14.353,92.982,38.5,4.9
2009,14.15,93.085,35,4.5
2009,13.893,93.045,35,4
2009,13.966,93.057,28.4,4.6
2009,14.284,93.132,35.3,4.4
2009,11.566,92.334,35,4.2
2009,13.977,93.121,35,4.2
2009,13.979,92.991,35,4.5
2009,13.935,93.013,35,4.2
2009,13.941,92.926,36.2,4.1
2009,14.061,93.102,37.3,4.2
2009,14.311,92.965,29.8,4.7
2009,14.099,92.902,24,7.5
2009,35.606,81.737,10,4.4
2009,35.631,81.639,10,4.3
2009,35.578,81.647,10,5.1
2009,35.705,81.836,10,4.5
2009,22.513,93.483,72.2,4.7
2009,37.119,71.512,106.8,4.5
2009,10.64,94.179,29.1,5
2009,12.281,92.51,26.4,4.6
2009,10.565,94.091,10,4.1
2009,10.609,94.143,10,4.1
2009,10.578,94.104,10,4
2009,10.591,94.122,10,5.2
2009,10.5,93.978,10,4.4
2009,10.604,94.332,10,4.9
2009,10.702,94.207,10,4.2
2009,10.641,94.248,10,4.5
2009,10.666,94.234,10,4.8
2009,34.899,73.219,49.1,5
2009,10.692,94.268,28.1,4.5
2009,10.585,94.232,14.3,4.9
2009,10.615,94.227,10,4.3
2009,10.667,94.184,10,4.9
2009,10.65,94.22,10,4.2
2009,10.609,94.188,10,5.1
2009,10.695,94.311,10,4.8
2009,10.742,94.352,10,5
2009,10.761,94.24,10,4.5
2009,10.608,94.319,10,4.4
2009,10.659,94.317,10,5
2009,10.764,94.294,10,5
2009,10.644,94.201,10,5
2009,10.61,94.235,10,4.6
2009,10.54,94.57,10,4.6
2009,10.739,94.238,10,4.9
2009,10.691,94.308,10,5.1
2009,10.733,94.288,16.3,5
2009,10.705,94.337,18.3,4.8
2009,10.657,94.213,10,4.9
2009,10.695,94.26,19.4,4.5
2009,10.608,94.186,10,5.1
2009,10.696,94.3,10,4.7
2009,10.735,94.446,10,4.5
2009,10.67,94.317,16.1,5.1
2009,10.799,94.329,24.1,4.7
2009,10.764,94.26,10,4.4
2009,10.701,94.286,10,4.4
2009,10.75,94.388,17.2,5
2009,33.491,86.924,41.6,4.1
2009,10.639,94.332,10,5.1
2009,10.605,94.163,10,4.4
2009,10.752,94.304,22.4,4.2
2009,11.279,94.65,10,5
2009,10.713,94.397,10,5.1
2009,10.68,94.25,10,4.4
2009,10.769,94.374,10,5.2
2009,10.751,94.286,10,5.1
2009,10.702,94.315,10,5
2009,10.704,94.407,10,4.5
2009,10.838,94.447,10,4.8
2009,10.747,94.294,10,4.5
2009,10.837,94.436,10,4.8
2009,30.945,85.81,10,4.1
2009,5.223,94.719,35,4.8
2009,31.158,85.902,13.4,5.8
2009,19.883,93.619,35,4.1
2009,4.446,96.658,46.2,4.4
2009,36.058,70.689,85.8,4.3
2009,32.716,76.709,35,4.6
2009,34.878,73.134,62.9,4.4
2009,22.372,93.971,30.1,4.2
2009,36.598,71.587,150.3,4.5
2009,24.286,94.176,52,4.1
2009,36.444,71.081,248.3,5.3
2009,35.701,69.897,94.8,4.2
2009,34.065,69.893,10,4
2009,10.59,92.284,35,4.8
2009,36.53,71.423,128.8,4.4
2009,10.168,93.612,87.3,4.4
2009,12.034,94.831,14.8,5.1
2009,12.14,94.996,26.9,5.2
2009,12.153,95.127,45,4.5
2009,25.668,93.276,32.8,4.3
2009,36.503,70.877,192.1,4.4
2009,35.889,90.073,10,4.9
2009,4.65,96.4,35,4.7
2009,9.045,93.624,42.6,5.2
2009,30.794,83.485,10,4.1
2009,13.072,93.295,51.6,4.4
2009,10.823,91.722,35,5.2
2009,30.996,86.314,10,4.9
2009,35.01,73.164,65.8,4.3
2009,36.332,69.915,130.6,4.4
2009,32.862,82.068,10,4.3
2009,37.083,71.229,90.7,4.3
2009,33.919,68.934,10,3
2009,32.931,76.177,10,3.8
2009,32.826,81.906,10,4.6
2009,32.776,81.755,7.2,5
2009,23.167,93.811,46.1,4.5
2009,23.356,93.21,45.3,4.3
2009,32.843,81.718,35,4.1
2009,10.018,93.541,27.4,4.5
2009,36.267,77.538,99.3,5.1
2009,33.731,82.513,35.4,4.4
2009,33.198,75.787,20.8,4.9
2009,25.228,96.463,43.8,4.2
2009,36.636,71.053,238.2,4.6
2009,24.577,94.555,74,4.7
2009,4.357,97.493,176.1,4.3
2009,4.628,94.973,55.1,4.5
2009,7.645,94.244,41.9,4.4
2009,11.737,92.013,29.1,4.8
2009,34.021,69.038,35,3.2
2009,23.504,94.726,113,4.7
2009,5.328,94.523,70.3,4.8
2009,22.957,94.535,113.5,4.3
2009,36.598,70.981,222.4,4.7
2009,36.126,71.097,96,4.7
2009,26.112,91.446,37.8,4.4
2009,11.865,95.011,29,4.5
2009,12.499,95.134,10,4.7
2009,25.324,95.098,104.8,4.6
2009,35.634,69.65,85.1,4.5
2009,34.106,70.056,4,5.1
2009,34.185,70.076,5.9,5.2
2009,6.796,82.616,10,4.5
2009,36.514,70.967,184,4.6
2009,6.263,94.441,82.5,5.1
2009,27.143,70.749,44.3,5.1
2009,36.289,71.086,108.2,4.7
2009,33.697,82.395,35,4.1
2009,34.771,73.095,13.3,4.6
2009,33.685,82.465,10,4.5
2009,34.672,73.091,42.3,4.5
2009,33.59,82.436,35,4.7
2009,33.716,82.446,51.9,4.8
2009,33.659,82.437,10,5
2009,22.399,85.903,10,4.1
2009,36.558,71.484,152.5,4.7
2009,5.257,94.31,58.9,5
2009,5.364,94.38,50,5.1
2009,31.462,70.034,9.4,4.4
2009,10.878,91.836,25.1,4.5
2009,36.183,71.026,122.5,4.3
2009,35.295,72.311,64.9,4.1
2009,30.634,83.734,32,4.1
2009,6.427,92.355,35,4.5
2009,9.822,91.839,38.6,4.8
2009,36.12,77.091,20,4.6
2009,30.154,68.474,35.5,5
2009,36.476,71.191,212.7,4.3
2009,10.963,91.781,10,4.2
2009,4.674,95.049,35,5
2009,11.178,92.526,35,4.5
2009,10.67,91.688,10,5.1
2009,36.307,71.279,150,4.6
2009,36.102,78.016,106.9,4.6
2009,4.665,96.626,35,4.9
2009,15.663,96.015,25,4.6
2009,15.56,96.06,35,4.5
2009,15.577,95.993,7.9,5.1
2009,24.823,95.179,115.5,4.7
2009,4.945,96.011,138.9,4.6
2009,30.518,67.776,10,5
2009,15.735,96.013,10,4.3
2009,15.637,95.94,10,4.6
2009,35.317,81.433,10,4.9
2009,20.473,89.107,10,4.8
2009,13.176,92.291,35,4.4
2009,23.291,92.82,35,4.5
2009,25.836,94.67,33,4.8
2009,34.203,73.9,12,5.5
2009,30.667,83.857,35,5.1
